station,service,first_time_utc,last_time_utc,start_date_utc,end_date_utc,interval_min,frames,station_series,camera,actuation_start,actuation_end,body_model,body_sn,lens_model,focal_length,lens_sn,time_accuracy_min,time_offset_s,time_drift_sday,time_reference,time_sources,notes
AKHS1,20090522,2009-05-13 19:02:14.90,2009-05-22 17:29:58.00,2009-05-13,2009-05-22,0.75,13301,1,nikon-d200-14-28,26774,40075,Nikon D200,3169209,AF Nikkor 28mm f/2.8D,28,,0.1,28894,,,Calving event in Jason Amundson sequence (20090514),
AKHS2,20090525,2009-05-23 06:56:22.65,2009-05-25 17:57:35.98,2009-05-23,2009-05-25,0.75,754,1,nikon-d200-15-28,117485,118238,Nikon D200,,AF Nikkor 28mm f/2.8D,28,,10,28800,,,Comparison with AK09,
AKHS3,20090604,2009-05-27 19:17:56.00,2009-06-05 04:02:38.54,2009-05-27,2009-06-05,0.75,13231,1,nikon-d200-07-28-02,4806,18041,Nikon D200,,AF Nikkor 28mm f/2.8D,28,,0.1,28898,,,Calving event in Jason Amundson sequence (20090514),
AKHS4,20090922,2009-08-27 03:01:59.24,2009-09-22 23:07:49.57,2009-08-27,2009-09-22,2,12574,1,nikon-d200-07-50,18071,30645,Nikon D200,,AF Nikkor 50mm f/1.8D,50,,2,28918,,,Calving event in AK09b (20090827_070955 ORI),
AKHS5,20141013,2014-10-06 17:40:49.00,2014-10-13 04:57:48.00,2014-10-07,2014-10-13,3,2597,1,canon-40d-02,5808,8404,Canon 40D,520205171,Canon EF 24mm f/2.8,24,,60,28800,,,Valdez tide tables and sunrise/sunset times suggest AKDT (UTC-8).,
AKHS5,20141014,2014-10-13 20:29:19.01,2014-10-13 20:29:19.01,2014-10-13,2014-10-14,3,423,1,canon-40d-02,8405,8827,Canon 40D,520205171,Canon EF 24mm f/2.8,24,,60,28800,,,Assumed same as previous sequence.,
AKJNC,20120825,2012-05-08 19:10:33.23,2012-08-25 23:17:01.15,2012-06-05,2012-08-25,20,4591,1,canon-40d-01,,,Canon 40D,1620805551,Canon EF 24mm f/2.8,24,,0.05,1.23,0.312,2012:05:08:19:11:03.92,GPS Photos (20120508 & 20120825). GPS Photos taken 2012-06-05 are inconsistent and are currently ignored.,
AKJNC,20121001,2012-08-25 23:20:26.78,2012-10-01 17:59:48.26,2012-08-25,2012-10-01,20,1449,1,canon-40d-01,,,Canon 40D,1620805551,Canon EF 24mm f/2.8,24,,,1.23,0.312,2012:05:08:19:11:03.92,Extended drift measurement from previous period since no new offset measurements were collected.,
AKST01A,20090518,2009-05-08 02:01:07.65,2009-05-08 16:07:58.41,2009-05-08,2009-05-08,5,101,1,nikon-d200-11-28,18,119,Nikon D200,3231948,AF Nikkor 28mm f/2.8D,28,612338,60,0,,,Sunrise / sunset times,
AKST01B,20090518,2009-05-07 23:39:22.23,2009-05-08 16:07:58.41,2009-05-08,2009-05-08,5,135,1,nikon-d200-12-28,7,141,Nikon D200,3229522,AF Nikkor 28mm f/2.8D,28,460315,5,-3590,,,Calving event in AKST01A (20090508_135258 ORI),
AKST02A,20090827,2009-08-26 20:00:04.08,2009-08-27 15:36:39.33,2009-08-26,2009-08-27,5,127,1,nikon-d200-11-28,1141,1335,Nikon D200,3231948,AF Nikkor 28mm f/2.8D,28,612338,60,28800,,,Sunrise / sunset times,
AKST02B,20090827,2009-08-26 19:25:03.00,2009-08-27 15:33:56.68,2009-08-26,2009-08-27,5,138,1,nikon-d200-12-28,1207,1422,Nikon D200,3229522,AF Nikkor 28mm f/2.8D,28,460315,60,28800,,,Sunrise / sunset times,
AKST03A,20100820,2010-05-10 20:54:36.73,2010-08-21 23:06:06.66,2010-05-18,2010-08-20,240,599,1,nikon-d200-11-28,2550,3113,Nikon D200,3231948,AF Nikkor 28mm f/2.8D,28,612338,0.1,0,,,GPS Photos (20100510),
AKST03B,20100820,2010-05-10 20:57:55.41,2010-08-22 00:40:04.51,2010-05-18,2010-06-07,240,166,1,nikon-d200-12-28,2476,2593,Nikon D200,3229522,AF Nikkor 28mm f/2.8D,28,460315,0.2,0,,,GPS Photos (20100510),
CG04,20041005,2004-06-24 20:00:16.00,2004-10-03 00:00:16.00,2004-06-24,2004-10-03,240,391,1,nikon-e8700,,,Nikon E8700,,8.9-71.2mm f/2.8-4.2,8.9,,120,28800,,,UTC-8h +- 4h (inferred from freestanding terminus island in 2004-07-07 Aerometric ortho).,
CG04,20041229,2004-10-04 22:52:48.00,2004-12-29 00:00:16.00,2004-10-05,2004-12-11,240,92,1,nikon-e8700,,,Nikon E8700,,8.9-71.2mm f/2.8-4.2,8.9,,120,28800,,,Assume same as 20041005,
CG05,20050916,2005-06-09 00:18:29.82,2005-09-16 19:00:00.00,2005-06-09,2005-09-16,120,511,1,nikon-d2x,402,932,Nikon D2X,5025061,AF Nikkor 28mm f/2.8D,28,,60,28800,,,Sunrise / sunset times,
CG06,20060918,2006-06-25 01:59:55.00,2006-09-19 02:03:17.00,2006-06-25,2006-09-19,120,1034,1,canon-20d,1050525,1151558,Canon 20D,1621014237,Canon EF-S 18-55mm f/3.5-5.6,22,,60,28800,,,Sunrise / sunset times,
CGBAY,20080621,2008-06-18 04:12:24.08,2008-06-21 16:23:44.00,2008-06-18,2008-06-21,,3887,1,nikon-d200-09-24,40905,44793,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,30,28800,,,Peak darkness,
CGKDN,20050603,2005-06-03 04:00:00.08,2005-06-04 04:00:00.00,2005-06-03,2005-06-04,240,7,1,nikon-d2x,395,401,Nikon D2X,5025061,AF Nikkor 28mm f/2.8D,28,,120,28800,,,Sunrise / sunset times,
CGZM,20080620,2008-06-18 18:38:30.23,2008-06-20 17:45:34.49,2008-06-18,2008-06-20,2,2113,1,nikon-d200-06-80,29957,32070,Nikon D200,,AF Zoom-Nikkor 80-200mm f/2.8D ED,200,,30,36000,,,UTC-10 (inferred image brightness vs. modeled solar radiation),
HI,20130919,2013-05-04 16:01:10.90,2013-09-19 22:42:54.56,2013-05-07,2013-09-19,20,6666,1,canon-40d-01,1,6666,Canon 40D,1620805551,Canon EF 24mm f/2.8,24,,,0.9,0.3339,2013:05:04:16:01:10,,
HI,20140629,2013-09-19 23:00:12.57,2014-05-01 00:00:49.04,2013-09-19,2014-05-01,20,5896,1,canon-40d-01,32,5927,Canon 40D,1620805551,Canon EF 24mm f/2.8,24,,,0.9,0.3339,2013:05:04:16:01:10,,
HI,20150324,2014-06-29 19:29:50.00,2015-04-10 00:15:46.66,2014-06-29,2015-03-24,20,8246,1,canon-40d-01,32,11,Canon 40D,1620805551,Canon EF 24mm f/2.8,24,,,141.51,0.3677,2014:06:29:19:28:38,,
